medcodeid	Term	six_month	three_month	unambiguous	twelve_month_rev	possible_gdm	context_dep	index
8006221000006115	Microalbuminuria due to type 1 diabetes mellitus	NA	NA	1	NA	NA	NA	1280
14083901000006110	Persistent microalbuminuria due to type 1 diabetes mellitus	NA	NA	1	NA	NA	NA	1281
12725191000006116	other specified diabetes mellitus with coma	NA	NA	1	NA	NA	NA	1282
1550571000000114	Jamaica type diabetes	NA	NA	1	NA	NA	NA	1283
10928019	Diabetes mellitus associated with genetic syndrome	NA	NA	1	NA	NA	NA	1284
967681000006119	Fibrocalculous pancreatic diabetes	NA	NA	1	NA	NA	NA	1285
8120431000006115	Mild nonproliferative retinopathy due to secondary diabetes mellitus	NA	NA	1	NA	NA	NA	1286
9986011	drug-induced diabetes mellitus	NA	NA	1	NA	NA	NA	1287
7068831000006114	Diabetes mellitus due to cystic fibrosis	NA	NA	1	NA	NA	NA	1288
6968641000006111	ophthalmic complication of malnutrition-related diabetes mellitus	NA	NA	1	NA	NA	NA	1289
356078011	Secondary endocrine diabetes mellitus	NA	NA	1	NA	NA	NA	1290
12489821000006114	Diabetes key contact	NA	NA	1	NA	NA	NA	1291
975481000006116	UKPDS (United Kingdom Prospective Diabetes Study) risk engine score	NA	NA	1	NA	NA	NA	1292
1745771000006118	Adverse reaction to Hypodermic Insulin Injection	NA	NA	1	NA	NA	NA	1293
5994181000006119	Diabetic department	NA	NA	NA	NA	NA	1	1294
1098831000006113	Adverse reaction to Hypodermic Insulin	NA	NA	NA	NA	NA	1	1295
4938911000006118	Insulin regime	NA	NA	NA	NA	NA	1	1296
4929251000006115	Diabetic nurse	NA	NA	NA	NA	NA	1	1297
8240801000006114	Insulin sensitivity factor	NA	NA	1	NA	NA	NA	1298
1013671000006115	Adverse reaction to Insulins	NA	NA	1	NA	NA	NA	1299
1823471000006110	Diabetes mellitus high risk review	NA	NA	1	NA	NA	NA	1300
5549741000006110	Diabetes clinic satisfaction questionnaire	NA	NA	1	NA	NA	NA	1301
12623641000006112	Referral to HeLP-Diabetes (Healthy Living for People with Diabetes) online self-management programme	NA	NA	1	NA	NA	NA	1302
418920011	History of diabetes mellitus in child of subject	NA	NA	1	NA	NA	NA	1303
2615631000033110	footmender all in one diabetic	NA	NA	1	NA	NA	NA	1304
8240791000006113	Insulin/carbohydrate ratio	NA	NA	NA	NA	NA	1	1305
128681000000117	Insulin antibody level	NA	NA	1	NA	NA	NA	1306
8267041000006114	Diabetes monitoring injection site check declined	NA	NA	1	NA	NA	NA	1307
8242331000006114	Diabetic retinopathy detected by national screening programme	NA	NA	1	NA	NA	NA	1308
13949621000006112	No diabetic maculopathy of left eye	NA	NA	1	NA	NA	NA	1309
356118015	Diabetes-deafness syndrome maternally transmitted	NA	NA	1	NA	NA	NA	1310
8428521000006115	Seen in hospital diabetes antenatal clinic	NA	NA	NA	NA	NA	1	1312
1119981000006119	Adverse reaction to Insulin glargine	NA	NA	1	NA	NA	NA	1313
7812121000006117	Diabetic retinopathy of eye not detected	NA	NA	1	NA	NA	NA	1314
1013691000006119	Adverse reaction to Intermediate And Long Acting Insulin Preparations	NA	NA	1	NA	NA	NA	1315
1100981000006112	Adverse reaction to Codeine Linctus Diabetic	NA	NA	1	NA	NA	NA	1316
6444031000006114	Diabetic care assessment	NA	NA	1	NA	NA	NA	1317
8267081000006115	Diabetes monitoring injection site not checked	NA	NA	1	NA	NA	NA	1318
1786715019	Bronzed diabetes	NA	NA	1	NA	NA	NA	1319
5988631000006117	Diabetes dietitian	NA	NA	1	NA	NA	NA	1321
8239331000006119	Insulin sensitivity factor - breakfast	NA	NA	1	NA	NA	NA	1322
8275381000006118	Endocrinology and diabetes	NA	NA	1	NA	NA	NA	1323
8239401000006118	Insulin/carbohydrate ratio - breakfast	NA	NA	NA	NA	NA	1	1324
12734771000006118	Declined to register for access to online diabetes self-management application	NA	NA	1	NA	NA	NA	1325
1135131000006110	Adverse reaction to Insulin Detemir	NA	NA	1	NA	NA	NA	1326
2532971012	O/E - left eye clinically significant macular oedema	NA	NA	1	NA	NA	NA	1327
616191000006112	Diabetes mellitus during pregnancy, childbirth and the puerperium	NA	NA	NA	NA	1	NA	1328
306108017	Diabetes mellitus during pregnancy - baby delivered	NA	NA	NA	NA	1	NA	1329
391111000006119	Adverse reaction to antidiabetic drug	NA	NA	1	NA	NA	NA	1330
5211000033113	drugs used in diabetes	NA	NA	1	NA	NA	NA	1331
5110111000006116	Nocturnal hypoglycaemia	NA	NA	1	NA	NA	NA	1332
8239341000006112	Insulin sensitivity factor - lunch	NA	NA	1	NA	NA	NA	1333
6444051000006119	Diabetic care	NA	NA	NA	NA	NA	1	1334
6022851000006114	Clinically significant macular oedema	NA	NA	1	NA	NA	NA	1335
11924351000006118	Diabetes treatment satisfaction questionnaire	NA	NA	1	NA	NA	NA	1336
12734341000006112	QOF (Quality and Outcomes Framework) diabetes mellitus quality indicator-related care invitation using preferred method of communication	NA	NA	1	NA	NA	NA	1337
1704751000006118	Excluded from diabetic retinopathy screening as no longer diabetic	NA	NA	1	NA	NA	NA	1339
7565341000006118	Diabetes clinic	NA	NA	NA	NA	NA	1	1340
8240001000006116	Mean total daily insulin dose	NA	NA	1	NA	NA	NA	1341
14233341000006112	Diabetes care plan	NA	NA	NA	NA	NA	1	1342
1229552016	Arthropathy associated with endocrine and metabolic disorder	NA	NA	1	NA	NA	NA	1343
8259591000006113	Referral to diabetic clinic	NA	NA	NA	NA	NA	1	1344
3515955014	Diabetes self management plan	NA	NA	1	NA	NA	NA	1345
8283131000006114	Date insulin pump therapy started	NA	NA	1	NA	NA	NA	1346
887971000006115	Preg.+ diabetes mellitus	NA	NA	NA	NA	1	NA	1347
13916191000006120	Insulin dose	NA	NA	NA	NA	NA	1	1348
817491000006111	Haemoglobin A1c between 7%-10% indicating borderline diabetic control	NA	NA	NA	NA	NA	1	1349
616151000006118	Diabetes mellitus - unspec whether in pregnancy/puerperium	NA	NA	NA	NA	1	NA	1350
468181000006111	Insulin adverse reaction	NA	NA	NA	NA	NA	1	1351
845341000006111	Diabetes: shared care in pregnancy - diabetologist and obstetrician	NA	NA	NA	NA	1	NA	1352
8242821000006115	No diabetic autonomic neuropathy	NA	NA	1	NA	NA	NA	1353
8060931000006110	No diabetic retinopathy	NA	NA	1	NA	NA	NA	1354
1030541000006112	Adverse reaction to Insulin Glargine	NA	NA	1	NA	NA	NA	1355
264714010	Loss of hypoglycaemic warning	NA	NA	1	NA	NA	NA	1356
12734741000006114	Registration for access to online diabetes self-management application	NA	NA	1	NA	NA	NA	1357
2575261000006118	maternal diabetes mellitus with hypoglycaemia affecting foetus or newborn	NA	NA	1	NA	NA	NA	1358
13949591000006110	No diabetic retinopathy of right eye	NA	NA	1	NA	NA	NA	1359
5999771000006115	Diabetes monitoring invitation	NA	NA	1	NA	NA	NA	1360
257620012	Hb. A1C 7-10% - borderline	NA	NA	1	NA	NA	NA	1361
8439941000006112	Diabetes monitoring SMS (short message service) text message first invitation	NA	NA	1	NA	NA	NA	1362
1977221000006114	Adverse reaction to Insulin Human	NA	NA	1	NA	NA	NA	1363
13949561000006120	No diabetic retinopathy of left eye	NA	NA	1	NA	NA	NA	1364
1861341000006117	Adverse reaction to Insulin Degludec	NA	NA	1	NA	NA	NA	1365
8239371000006116	Insulin/carbohydrate ratio - evening meal	NA	NA	1	NA	NA	NA	1366
8239351000006114	Insulin sensitivity factor - evening meal	NA	NA	1	NA	NA	NA	1367
12490041000006116	Diabetic retinopathy screening offered	NA	NA	1	NA	NA	NA	1368
7469421000006113	Ambulatory insulin infusion pump	NA	NA	1	NA	NA	NA	1369
1132301000006114	Adverse reaction to Insulin Soluble Human	NA	NA	1	NA	NA	NA	1370
8239391000006115	Insulin/carbohydrate ratio - lunch	NA	NA	1	NA	NA	NA	1371
8439961000006111	Diabetes monitoring SMS (short message service) text message second invitation	NA	NA	1	NA	NA	NA	1372
1488675017	Insulin IgE antibody level	NA	NA	1	NA	NA	NA	1373
3416171000006118	Necrobiosis lipoidica diabeticorum	NA	NA	1	NA	NA	NA	1374
3603911000006118	Insulin	NA	NA	1	NA	NA	NA	1375
1118981000006112	Adverse reaction to Insulin Aspart	NA	NA	1	NA	NA	NA	1376
1780325018	Plasma insulin C-peptide level	NA	NA	1	NA	NA	NA	1377
5979491000006119	Diabetes monitoring call	NA	NA	1	NA	NA	NA	1378
6613341000006113	Diabetic monitoring - injection sites abnormal	NA	NA	1	NA	NA	NA	1379
1488676016	Insulin IgG antibody level	NA	NA	1	NA	NA	NA	1380
6022591000006118	Mild nonproliferative retinopathy	NA	NA	1	NA	NA	NA	1381
5833341000006112	Accidental insulin overdose	NA	NA	1	NA	NA	NA	1382
354651000006115	[X] Adverse reaction to insulins	NA	NA	1	NA	NA	NA	1383
12117381000006110	Referral for diabetic care	NA	NA	1	NA	NA	NA	1384
1013661000006110	Adverse reaction to Drugs Used In Diabetes	NA	NA	1	NA	NA	NA	1385
1488749011	Diabetic monitoring not required	NA	NA	1	NA	NA	NA	1386
144251000006113	Serum insulin - C-polypeptide level	NA	NA	1	NA	NA	NA	1387
7257031000006118	Does rotate site of insulin injection	NA	NA	1	NA	NA	NA	1389
6615341000006112	Diabetic monitoring - injection sites normal	NA	NA	1	NA	NA	NA	1390
7828041000006115	Diabetic retinal eye exam	NA	NA	1	NA	NA	NA	1391
285223014	Seen in diabetic clinic	NA	NA	NA	NA	NA	1	1392
