medcodeid	Term	delivery
1551331000006118	Fetoscopic insertion of tracheal plug for congenital diaphragmatic hernia	NA
1551361000006110	Percutaneous insertion of tracheal plug for congenital diaphragmatic hernia of fetus	NA
1551401000006117	Endoscopic laser ablation of placental arterio-venous anastomosis	NA
1551411000006119	Endoscopic serial drainage of amniotic fluid	NA
1551421000006110	OS therapeutic endoscopic operations twin-twin transfusion	NA
1551431000006113	Therapeutic endoscopic operations twin-twin transfusion NOS	NA
1551441000006115	Therapeutic percutaneous operation for twin-twin transfusion syndrome	NA
1551451000006118	Percutaneous laser ablation of placental arterio-venous anastomosis	NA
1551471000006111	OS therapeutic percutaneous operations twin-twin transfusion	NA
1551481000006114	Therapeut percutaneous operations twin-twin transfusion NOS	NA
1551521000006114	Viability scan	NA
1551571000006110	Biophysical profile of fetus	NA
1551601000006115	Ultrasound scan for foetal nuchal translucency	NA
1551631000006111	OS non routine obstetric scan for fetal observations	NA
1551661000006119	Placental localisation scan	NA
1551671000006114	Ultrasound scan for amniotic fluid volume	NA
155468010	Primary malignant neoplasm of placenta	NA
1555071000006116	Delivery of simple parenteral chemotherapy for neoplasm at first attendance	NA
1556111000006118	Delivery of a fraction of simple radiotherapy on a megavoltage machine	NA
1556121000006114	Delivery of a fraction of radiotherapy on a superficial or orthovoltage machine	NA
157121000006115	Second degree perineal tear during delivery with postnatal problem	NA
1575951000006112	Ante-Natal Profile (Fbc,Group,Rh,Antib)	NA
1577961000006118	Pregnant - Number Of Weeks	NA
1577971000006113	O/E - Fundal Size	NA
157921000000112	Sure Start antenatal visit	NA
1585381000006112	Serum pregnancy associated plasma protein-A mean of median	NA
1585391000006110	Plasma pregnancy associated plasma protein A multiple of median measurement	NA
1588381000006118	Therap endoscopic operations for twin-twin transfusion syn	NA
1588391000006115	Endoscopic serial drainage of amniotic fluid for twin-twin transfusion syndrome	NA
1588401000006118	Therapeutic percutaneous operation twin-twin transfusion syn	NA
1588411000006115	Percutaneous serial drainage of amniotic fluid for twin-twin transfusion syndrome	NA
158981000006117	Rupture of uterus during and after labour - delivered with postnatal problem	NA
158991000006119	Rupture of uterus during and after labour - delivered with postnatal problem	NA
1626161000006110	Fetus with cardiovascular abnormality	NA
163661000006116	Rigid perineum complicating antenatal care - baby not yet delivered	NA
163671000006111	Rigid perineum complicating postpartum care - baby delivered during previous episode of care	NA
164131000006115	Risk life pregnant woman greater than if pregnancy terminatd	NA
1646561000000111	Length of gestation at time of test	NA
1662441000006110	Unborn child on protection register	NA
166282017	Multigravida	NA
1673021000006111	Ultrasonic guidance for amniocentesis	NA
1673191000006114	Ultrasound scan for fetal growth	NA
1673321000006114	Transvaginal nuchal ultrasound scan	NA
1675551000006114	Sickle cell screening declined	NA
168041000006115	Rhesus screening - 1st pregnancy sample	NA
168051000006118	Rh screen - 2nd preg. sample	NA
168061000006116	Rh screen - 3rd preg. sample	NA
1686291000000113	Insertion of umbilical arterial catheter	NA
169351000006112	Retained placenta with no haemorrhage - deliv with p/n prob	NA
1697741000006118	Antenatal sickle cell screening test offered	NA
1701001000006117	Antenatal screening shows non significant carrier of sickle cell or thalassaemia	NA
1701011000006119	Antenatal screening shows significant carrier of sickle cell or thalassaemia	NA
1701121000006111	Antenatal screening shows iron deficiency or possible non significant alpha thalassaemia	NA
1701131000006114	Antenatal screening shows homozygote or compound heterozygote of no genetic significance	NA
1701141000006116	Antenatal screening shows homozygote or compound heterozygote of genetic significance	NA
1701211000006114	Antenatal screening, partner tested and no genetic risk identified	NA
1703761000000114	Gestational diabetes information leaflet given	NA
170381000006118	Retracted nipple in pregnancy, the puerperium or lactation - delivered with postnatal complication	NA
170411000006115	Retracted nipple in pregnancy, the puerperium or lactation - delivered	NA
1707141000000117	Down's syndrome antenatal screening information leaflet given	NA
170841000006118	Retroverted incarcerated gravid uterus - delivered with postnatal complication	NA
170871000006114	Retroverted incarcerated gravid uterus with antenatal problem	NA
1709831000006118	E6 - Form Mat B1 Issued - Pregnant	NA
1717041000000115	Self referral to termination of pregnancy service	NA
1717291000000119	Transmyometrial transfer of embryo to uterus	NA
1733031000000110	Referral to teenage pregnancy and parenting support service	NA
174421000006118	Repositioning of inverted delivered uterus	NA
1751611000006118	NHS Sickle Cell and Thalassaemia Screening Programme family origin	NA
1751621000006114	NHS Sickle Cell and Thalassaemia Screening Programme family origin African or African-Caribbean (black)	NA
1751631000006112	NHS Sickle Cell and Thalassaemia Screening Programme Caribbean Islands family origin	NA
1751641000006119	NHS Sickle Cell and Thalassaemia Screening Programme African family origin	NA
1751651000006117	NHS Sickle Cell and Thalassaemia Screening Programme family origin South Asia (Asian)	NA
1751661000006115	NHS Sickle Cell and Thalassaemia Screening Programme India or African-Indian family origin	NA
1751671000006110	NHS Sickle Cell and Thalassaemia Screening Programme Pakistan family origin	NA
1751681000006113	NHS Sickle Cell and Thalassaemia Screening Programme Bangladesh family origin	NA
1751691000006111	NHS Sickle Cell and Thalassaemia Screening Programme family origin South East Asia (Asian)	NA
1751701000006111	NHS Sickle Cell and Thalassaemia Screening Programme Chinese family origin	NA
1751711000006114	NHS Sickle Cell and Thalassaemia Screening Programme Thailand, Indonesia, Burma family origin	NA
1751721000006118	NHS Sickle Cell and Thalassaemia Screening Programme Malaysia, Vietnam, Philippines, Cambodia, Laos family origin	NA
1751731000006115	NHS Sickle Cell and Thalassaemia Screening Programme family origin other non-European excluding African or African-Caribbean, South or South East Asian (other)	NA
1751741000006113	NHS Sickle Cell and Thalassaemia Screening Programme North Africa family origin	NA
1751751000006110	NHS Sickle Cell and Thalassaemia Screening Programme South America family origin	NA
1751761000006112	NHS Sickle Cell and Thalassaemia Screening Programme Middle East family origin	NA
1751771000006117	NHS Sickle Cell and Thalassaemia Screening Programme family origin Southern and other European (white)	NA
