medcodeid	Term	delivery
254713018	O/E - breech presentation	NA
254714012	O/E - oblique lie	NA
254715013	O/E - transverse lie	NA
254721012	O/E -fetal presentation unsure	NA
254722017	O/E - fetal presentation NOS	NA
254723010	O/E - presenting part position	NA
254724016	O/E - position-presenting part	NA
254725015	O/E - LOA	NA
254726019	O/E - presenting part LOA	NA
254727011	O/E - presenting ROA	NA
254728018	O/E - ROA	NA
254729014	O/E - LOP	NA
254730016	O/E - presenting part LOP	NA
254731017	O/E - ROP	NA
254732012	O/E - presenting part ROP	NA
254733019	O/E - presenting part LSA	NA
254734013	O/E - LSA	NA
254735014	O/E - RSA	NA
254736010	O/E - presenting part RSA	NA
254746012	O/E - presenting part free-5/5	NA
254747015	O/E - presenting part free-4/5	NA
254748013	O/E - partial engagement - 3/5	NA
254749017	O/E - partial engagement - 2/5	NA
254750017	O/E - presentation engaged-1/5	NA
254751018	On examination - presenting part station	NA
254752013	O/E - fetal movements	NA
254753015	O/E - no fetal movements	NA
254754014	O/E - fetal movements seen	NA
254755010	O/E - fetal movements felt	NA
254756011	O/E - fetus very active	NA
254757019	O/E - fetal movement diminished	NA
254758012	O/E - fetal movements NOS	NA
254759016	O/E - fetal heart heard	NA
254760014	O/E - fetal heart not heard	NA
254761013	O/E - fetal heart < 40	NA
254762018	O/E - fetal heart 40-80	NA
254763011	O/E - fetal heart 80-100	NA
254764017	O/E - fetal heart 100-120	NA
254765016	O/E - fetal heart 120-160	NA
254766015	O/E - fetal heart 160-180	NA
254767012	O/E - fetal heart 180-200	NA
254768019	O/E - fetal heart > 200	NA
254769010	O/E - fetal heart -type 1 dips	NA
254770011	O/E - fetal heart -type 2 dips	NA
254771010	Fetal heart finding	NA
254772015	O/E - VE for pelvic assessment	NA
254773013	O/E - VE - pelvis adequate	NA
254774019	O/E - VE - pelvis not adequate	NA
254775018	O/E - VE-pelvic assessment NOS	NA
254776017	O/E - vaginal examination - cervical ripeness	NA
254777014	O/E - VE - cervix not ripe	NA
254778016	O/E - VE - cervix ripe	NA
254779012	O/E - VE - cervix ripeness NOS	NA
254780010	O/E - VE - cervical dilatation	NA
254781014	O/E - VE - cervical os closed	NA
254782019	O/E - vaginal examination - os 0-1 cm dilated	NA
254783012	O/E - vaginal examination - os 1-2cm dilated	NA
254784018	O/E - vaginal examination - os 2-4 cm dilated	NA
254785017	O/E - vaginal examination - os 4-6cm dilated	NA
254786016	O/E - vaginal examination - os 6-8cm dilated	NA
254787013	O/E - vaginal examination - os 8-10cm dilated	NA
254788015	O/E - vaginal examination - os fully dilated	NA
254789011	O/E - VE - cervix dilat. NOS	NA
254794011	On examination - vaginal examination - presenting part high	NA
254795012	On examination - vaginal examination - presenting part in mid cavity	NA
254796013	On examination - vaginal examination - presenting part at spines	NA
254797016	On examination - vaginal examination - presenting part visible	NA
254798014	O/E - VE - descent of P.P NOS	NA
2549789015	Refer to early pregnancy unit	NA
25601000006119	Other obstetric breast infection - deliv with p/n comp	NA
256393018	Placental localisation	NA
2576321000006114	Anaesthesia for caesarean section	NA
2579233015	Scanzoni forceps cephalic delivery with rotation	NA
25847015	Liver disorder in pregnancy	NA
258621014	Human placental lactogen level normal	NA
258622019	HPL - Human placental lactogen abnormal	NA
258632014	Placental function test	NA
258633016	Placental function test normal	NA
258634010	Placental function test abnormal	NA
258639017	Serum pregnancy test positive	NA
2588081000006117	Assisted spontaneous delivery	NA
2588571000000117	Unborn child no longer cause for safeguarding concern	NA
2588611000000114	Unborn child no longer subject to child protection plan	NA
259782016	Urine pregnancy test positive	NA
260431000033117	Pregnavite Forte F	NA
261070016	Amniotic fluid examination	NA
261071017	Amniotic fluid exam. - general	NA
261073019	Amniotic fluid normal	NA
261075014	Amniotic fluid exam. gen. NOS	NA
261076010	Amniotic fluid appearance	NA
261077018	Amniotic fluid - clear	NA
261079015	Amniotic fluid -meconium stain	NA
261080017	Amniotic fluid appearance NOS	NA
261081018	Amniotic fluid microscopy	NA
261082013	Amniotic fluid microscopy -NAD	NA
261083015	Abnormal amniotic fluid microscopy	NA
261084014	Amniotic fluid cell content OK	NA
261085010	Amniotic fluid microscopy NOS	NA
261087019	Amniotic fluid chemistry	NA
261088012	Amniotic fluid chemistry: NAD	NA
261089016	Abnormal amniotic fluid chemistry	NA
261094016	Amniotic fluid palmitic acid	NA
261096019	Amniotic fluid chemistry NOS	NA
261097011	Amniotic fluid AFP normal	NA
261098018	Amniotic fluid AFP equivocal	NA
261099014	Amniotic fluid AFP abnormal	NA
261100018	Amniotic fluid AFP NOS	NA
261101019	Amnicator test - nitrazamine	NA
261102014	Nitrazine yellow test for detection of rupture of amniotic membrane positive	NA
261103016	Nitrazine yellow test for detection of rupture of amniotic membrane negative	NA
261104010	Measurement of pH in vaginal fluid specimen using nitrazine yellow for detection of rupture of amniotic membrane	NA
261105011	Amniotic fetal cell study	NA
261106012	Amniotic fetal cell study: NAD	NA
261107015	Amniotic fetal cell abnormal	NA
261108013	Trisomy 21 in amniotic foetal cell	NA
261109017	Amniotic fetal cell study NOS	NA
261110010	Amniotic fluid exam. NOS	NA
2613081000000111	Quantity of postpartum maternal blood loss	NA
262004014	Abdominal obstetric X-ray	NA
262005010	Obstetric X-ray - fetus	NA
262007019	Abdominal obstetric X-ray NOS	NA
2621564018	Fourth degree perineal tear during delivery	NA
262175014	Placentography requested	NA
262176010	Placentography normal	NA
262177018	Placentography abnormal	NA
262179015	Amniography	NA
262180017	Placental vasography	NA
262181018	Placentography NOS	NA
262667016	Dating obstetric ultrasound scan	NA
262669018	Viability US scan	NA
262670017	Antenatal ultrasound result received	NA
262968012	Combined oral contraceptive pill failure	NA
262969016	Progestogen-only pill failure	NA
262993014	Pregnant, IUD failure	NA
262994015	IUD failure - pregnant	NA
263013015	Pregnant, diaphragm failure	NA
263026016	Pregnant, sheath failure	NA
263052010	Depot contraceptive failure	NA
263064019	Contraceptive sponge failure	NA
263080012	Vasectomy failure	NA
263085019	Female sterilisation failure	NA
263100011	Pregnant - urine test confirms	NA
263101010	Pregnant - blood test confirms	NA
263102015	Pregnant - V.E. confirms	NA
263103013	Pregnant - on history	NA
263104019	Pregnant - on abdominal palpation	NA
263105018	Pregnant - planned	NA
263107014	Pregnant - unplanned - wanted	NA
263108016	Pregnant -unplanned-not wanted	NA
263109012	Unplanned pregnancy unknown if child is wanted	NA
263110019	Questionable if pregnancy was planned	NA
263112010	Patient pregnant NOS	NA
263113017	Antenatal care categorised by gravida number	NA
263114011	Antenatal care: primigravida	NA
263115012	Antenatal care: 2nd pregnancy	NA
263116013	Antenatal care: 3rd pregnancy	NA
263117016	Antenatal care: multip	NA
263118014	Antenatal care: gravida NOS	NA
263120012	A/N care: uncertain dates	NA
263121011	A/N care: recurrent aborter	NA
263122016	Antenatal care: grand multiparity	NA
263123014	A/N care: H/O stillbirth	NA
263124015	A/N care: H/O perinatal death	NA
263127010	A/N care: obstetric risk NOS	NA
263128017	A/N care: precious pregnancy	NA
263130015	A/N care: H/O infertility	NA
263132011	A/N care: social risk	NA
263133018	A/N care: poor home conditions	NA
263134012	A/N care: poor A/N attender	NA
263135013	A/N care: late booker	NA
263136014	A/N care: H/O child abuse	NA
263137017	A/N care: social risk NOS	NA
263138010	A/N care: medical risk	NA
263141018	A/N risk factors	NA
263142013	A/N care: under 5ft tall	NA
263149016	A/N risk NOS	NA
263156010	A/N care provider	NA
263157018	Antenatal care from general practitioner	NA
263158011	A/N care from consultant	NA
263159015	A/N - shared care	NA
263161012	A/N care provider NOS	NA
263166019	Delivery: no place booked	NA
263167011	Home delivery booked	NA
263170010	Private home delivery booking	NA
263171014	Delivery booking place changed	NA
263173012	Delivery place booked	NA
263175017	Short stay delivery booking	NA
263176016	Full stay delivery booking	NA
263177013	Delivery booking - length of stay	NA
263194010	Intends to bottle feed	NA
263195011	Feeding intention - bottle	NA
263196012	Feeding intention - NOS	NA
263197015	Antenatal amniocentesis	NA
263198013	Amniocentesis not offered	NA
263199017	A/N amniocentesis - offered	NA
263200019	A/N amniocentesis - not wanted	NA
263201015	A/N amniocentesis wanted	NA
263202010	A/N amniocentesis - awaited	NA
263203017	A/N amniocentesis - normal	NA
263204011	A/N amniocentesis - abnormal	NA
263207016	Antenatal amniocentesis NOS	NA
263209018	Obstetric ultrasonography not offered	NA
263210011	A/N U/S scan offered	NA
263211010	A/N U/S scan not wanted	NA
263212015	A/N U/S scan wanted	NA
263213013	A/N U/S scan awaited	NA
263214019	Antenatal ultrasound scan normal and appropriate for dates	NA
263216017	A/N U/S scan abnormal	NA
263218016	A/N U/S scan for slow growth	NA
263220018	Antenatal ultrasound scan at 9-16 weeks	NA
263221019	Antenatal ultrasound scan at 17-22 weeks	NA
263223016	Antenatal ultrasound scan NOS	NA
263256015	A/N syphilis screen-blood sent	NA
263271016	A/N 16 week examination	NA
263286010	Antenatal examination NOS	NA
263296018	Fetal movements seen	NA
263299013	Fetal maturity: dates = size	NA
263303015	Fetal maturity: dates not=size	NA
263314017	Antenatal data	NA
263381015	Triple test offered	NA
263382010	Double test offered	NA
263383017	Triple test not offered	NA
263384011	Double test not offered	NA
263385012	Triple test wanted	NA
263386013	Double test wanted	NA
263387016	Triple test not wanted	NA
263388014	Double test not wanted	NA
263405014	Birth details	NA
263408011	GP unit birth	NA
263409015	Consultant unit birth	NA
263435019	Single live birth	NA
263444018	Finding of outcome of delivery	NA
263453013	Baby male	NA
263454019	Baby female	NA
2635711000000112	At risk of forced labour	NA
263662016	Infant feeding at 1 year	NA
2645503011	Antenatal care	NA
2649301016	Pregnancy care	NA
265091015	Diet in pregnancy advice	NA
265092010	Pregnancy smoking advice	NA
265093017	Pregnancy exercise advice	NA
265094011	Pregnancy alcohol education	NA
265096013	Pregnancy dental advice	NA
265098014	Maternity grant advice	NA
26531000006116	Other mat infective/parasit dis in pregnancy - not delivered	NA
265311000006110	O/E - presenting part posn.NOS	NA
26561000006113	Other mat. venereal dis. in puerperium-baby previously deliv	NA
26571000006118	Other mat.infect/parasit dis in puerperium - baby delivered	NA
26601000006113	Other mat.infective/parasitic dis in pregnancy - delivered	NA
26621000006115	Other mat.viral dis. in puerperium-baby previously delivered	NA
26661000006114	Other maternal venereal dis. in pregnancy-baby not delivered	NA
26671000006119	Other maternal venereal disease during pregnancy- baby deliv	NA
26681000006116	Other maternal venereal disease in puerperium-baby delivered	NA
266981000006111	Oedema or excessive weight gain in pregnancy - not delivered	NA
267001000006118	Oedema or excessive weight gain in pregnancy, delivered	NA
267011000006115	Oedema or excessive weight gain in pregnancy, unspecified	NA
267021000006111	Oedema/excess weight gain preg - delivered + postnatal compl	NA
267031000006114	Oedema/excessive weight gain in preg+postnatal complication	NA
26721000006111	Other maternal viral dis.in pregnancy-baby not yet delivered	NA
26731000006114	Other maternal viral disease in pregnancy - baby delivered	NA
2673912010	Traumatic injury during pregnancy	NA
26741000006116	Other maternal viral disease in puerperium - baby delivered	NA
2676371013	Obstetric uterine artery Doppler	NA
2676372018	Doppler ultrasound scan of uterine artery	NA
2676374017	Obstetric umbilical artery Doppler	NA
2676375016	Doppler ultrasound scan of umbilical artery	NA
2682621000006115	CS - Caesarean section	NA
268591000006115	Obstetric perineal wound disruption - delivered with postnatal complication	NA
2686061000006119	GDM	NA
2686071000006114	Gestational diabetes	NA
2686101000006116	GDM - Gestational diabetes mellitus	NA
268671000006117	Obstetric pulmonary embolism NOS - delivered with p/n comp	NA
268721000006114	Obstetric pyaemic and septic pulmonary embolism with antenatal complication	NA
269051000006112	Obstetric inversion of uterus - delivered with postnatal problem	NA
269181000006115	Obstetric nipple infection - delivered with postnatal complication	NA
269241000006117	Obstetric nonpurulent mastitis - deliv with p/n complication	NA
269251000006115	Obstetric non-purulent mastitis - delivered	NA
269361000006111	Obstetric anaesthetic complications NOS - deliv + p/n prob	NA
269411000006115	Obstetric blood-clot pulmonary embolism - delivered with postnatal complication	NA
2694165019	Sickle cell screening declined	NA
269431000006114	Obstetric blood-clot pulmonary embolism with antenatal complication	NA
269491000006113	Obstetric breast abscess - delivered with postnatal complication	NA
2695033010	Percutaneous laser ablation of lesion of fetus	NA
269581000006114	Obstetric breast infection NOS - deliv with p/n complication	NA
269651000006117	Obstetric coop card	NA
269661000006115	Obstetric coop card duplicate	NA
269671000006110	Obstetric coop card issued	NA
269681000006113	Obstetric coop card lost	NA
269691000006111	Obstetric coop card NOS	NA
269701000006111	Obstetric coop card updated	NA
269731000006115	Obstetric pelvic haematoma - delivered with postnatal problem	NA
269831000006111	Obstet. X-ray abdomen	NA
26988014	Eclampsia	NA
270081000006118	Obstetric anaesthesia with pulmonary complications - delivered	NA
2701000000119	Maternity anaesthetic service claim	NA
273611000006111	O/E - VE - presenting part	NA
2741000000116	Mat B1 - cert of expected conf	NA
274176010	Therapeutic fetoscopic operations on fetus	NA
274177018	Therapeutic foetoscopic operations on fetus	NA
274178011	Therapeutic endoscopic operations on fetus	NA
274179015	Fetoscopic blood transfusion of fetus	NA
274180017	Other specified therapeutic fetoscopic operation	NA
274181018	Therapeutic fetoscopic operation NOS	NA
274205019	Other specified therapeutic percutaneous operation on fetus	NA
274206018	Therapeutic percutaneous operation on fetus NOS	NA
274210015	Percutaneous biopsy of fetus	NA
274211016	Percutaneous sampling of chorionic villus	NA
274213018	Other specified diagnostic percutaneous examination of fetus	NA
274214012	Diagnostic percutaneous examination of fetus NOS	NA
274215013	Operation on amniotic cavity	NA
274220013	Sampling of chorionic villus	NA
274222017	Other specified other operation on amniotic cavity	NA
274223010	Other operation on amniotic cavity NOS	NA
274233019	Repositioning of retroverted gravid uterus	NA
274234013	External version of breech	NA
274236010	Operation on gravid uterus	NA
274238011	Operation on gravid uterus NOS	NA
274239015	Other specified operations on fetus or gravid uterus	NA
274240018	Fetus and gravid uterus operations NOS	NA
274248013	Surgical induction of labour	NA
274253015	Other specified surgical induction of labour	NA
274286016	Other specified elective caesarean delivery	NA
274289011	Elective caesarean delivery NOS	NA
274290019	Caesarean section	NA
274293017	Upper uterine segment caesarean delivery NEC	NA
274294011	Low cervical caesarean section	NA
274297016	Other specified other caesarean delivery	NA
274298014	Other caesarean delivery NOS	NA
274302018	Breech extraction delivery with version	NA
274304017	Other specified breech extraction delivery	NA
274305016	Breech extraction delivery NOS	NA
274306015	Other breech delivery	NA
274307012	Spontaneous breech delivery	NA
274308019	Assisted breech delivery	NA
274309010	Other specified other breech delivery	NA
274310017	Other breech delivery NOS	NA
274311018	Forceps cephalic delivery	NA
274312013	High forceps cephalic delivery with rotation	NA
274313015	High forceps cephalic delivery NEC	NA
274318012	Barton forceps cephalic delivery with rotation	NA
274319016	Dehee forceps cephalic delivery with rotation	NA
274321014	Piper forceps delivery	NA
274322019	Other specified forceps cephalic delivery	NA
274323012	Forceps cephalic delivery NOS	NA
274324018	High vacuum delivery	NA
274325017	Low vacuum delivery	NA
274326016	Vacuum delivery before full dilation of cervix	NA
274327013	Trial of vacuum delivery	NA
274328015	Other specified vacuum delivery	NA
274329011	Vacuum delivery NOS	NA
274336012	Normal delivery	NA
274338013	Water birth delivery	NA
274339017	Other specified normal delivery	NA
274340015	Normal delivery procedure	NA
274341016	Delivery procedure	NA
274344012	Other specified other method of delivery	NA
274345013	Other method of delivery NOS	NA
274346014	Operation to facilitate delivery	NA
274349019	Other specified other operation to facilitate delivery	NA
274350019	Other operation to facilitate delivery NOS	NA
274351015	Other specified induction or delivery operations	NA
274352010	Induction and delivery operations NOS	NA
274353017	Other obstetric operations	NA
274358014	Manual removal of placenta from delivered uterus	NA
274361010	Other operations on delivered uterus	NA
274366017	Instrumental exploration of delivered uterus NEC	NA
274367014	Manual exploration of delivered uterus NEC	NA
274368016	Normal delivery of placenta	NA
274377011	Other specified other operation on delivered uterus	NA
274378018	Other operation on delivered uterus NOS	NA
274398011	Other specified other obstetric operation	NA
274399015	Other obstetric operation NOS	NA
274407013	Fetal heart monitoring	NA
274410018	Other specified obstetric monitoring	NA
274411019	Obstetric monitoring NOS	NA
274413016	Other obstetric operations NOS	NA
274414010	Other specified obstetric operations	NA
274415011	Obstetric operations NOS	NA
2756941000006119	Oxygen delivery	NA
2761000000115	Mat B1 certificate due	NA
27701016	Multiple pregnancy	NA
2771000000110	Mat B1 signed	NA
2781000000112	Mat B1 certificate status	NA
2783301000006116	Low forceps delivery with episiotomy	NA
2792983014	Education about toxoplasmosis precautions during pregnancy	NA
2801000000113	Mat B2 - cert of confinement	NA
2823301000006114	Amniography	NA
282803012	Pregnancy prophylactic therapy	NA
282822015	Iron supplement in pregnancy	NA
282823013	Vitamin supplement - pregnancy	NA
28371017	Albuminuria in pregnancy without hypertension	NA
283737019	Referral for counselling for termination of pregnancy	NA
283814015	Discharged from hospital within 6 hours of delivery	NA
283909015	Obstetric D.V. requested	NA
283951010	Obstetric D.V. done	NA
284066015	Referral to antenatal clinic	NA
284094011	Private referral to obstetrician	NA
284238018	Requests pregnancy termination	NA
284614013	Kick chart	NA
284615014	Kick chart issued	NA
284616010	Kick chart lost	NA
284617018	Kick chart duplicate issued	NA
284618011	Kick chart checked	NA
284619015	Kick chart NOS	NA
285219018	Seen in antenatal clinic	NA
2871584019	Antepartum foetal death	NA
28821000006115	Other immediate postpartum haemorrhage - deliv with p/n prob	NA
29133010	Fetal valproate syndrome	NA
2913301000006114	Mid forceps delivery with episiotomy	NA
2921211000006110	Delivery by vacuum extraction with episiotomy	NA
29390018	Cervical incompetence	NA
2967831017	Pre-existing type 1 diabetes mellitus in pregnancy	NA
297841000006111	Delivery normal	NA
2981000000110	FW 8 - application for prescription exemption	NA
2991000000112	Prescription exemption form - pregnancy	NA
30054019	Peripheral neuritis in pregnancy	NA
30111000006119	Other fetal abnormality causing disproportion with a/n prob	NA
30181000006114	Other fetal malposition and malpresentation with a/n prob	NA
301902016	Antenatal enamel hypoplasia	NA
30191000006112	Other fetal problems	NA
30211000006113	Other feto-placental problems	NA
305290019	Delivery of viable fetus in abdominal pregnancy	NA
305530017	Failed attempted abortion with renal failure	NA
305531018	Failed attempted abortion with metabolic disorder	NA
305532013	Failed attempted abortion with shock	NA
305533015	Failed attempted abortion with embolism	NA
305536011	Failed attempted abortion with other specified complication	NA
305538012	Failed attempted abortion with complication NOS	NA
305539016	Failed attempted termination of pregnancy	NA
305540019	Failed attempted abortion NOS	NA
305610013	Failed medical abortion, complicated by embolism	NA
305612017	Failed medical abortion, without complication	NA
305615015	Complication occurring during pregnancy	NA
305616019	Threatened miscarriage	NA
305617011	Threatened abortion - delivered	NA
305618018	Threatened abortion - not delivered	NA
305619014	Threatened abortion NOS	NA
305626014	Other haemorrhage in early pregnancy unspecified	NA
305627017	Haemorrhage in early pregnancy, delivered	NA
305630012	Haemorrhage in early pregnancy, antepartum	NA
305631011	Other haemorrhage in early pregnancy NOS	NA
305634015	Early pregnancy haemorrhage NOS	NA
305635019	Early pregnancy haemorrhage NOS unspecified	NA
305638017	Early pregnancy haemorrhage NOS - delivered	NA
305639013	Early pregnancy haemorrhage NOS - not delivered	NA
305655018	Placenta praevia without haemorrhage unspecified	NA
305658016	Placenta praevia without haemorrhage - delivered	NA
305659012	Placenta praevia without haemorrhage - not delivered	NA
305664011	Placenta praevia without haemorrhage NOS	NA
305665012	Placenta praevia with haemorrhage	NA
305668014	Placenta praevia with haemorrhage unspecified	NA
305669018	Placenta praevia with haemorrhage - delivered	NA
305672013	Placenta praevia with haemorrhage - not delivered	NA
305673015	Placenta praevia with haemorrhage NOS	NA
305679016	Placental abruption unspecified	NA
305680018	Placental abruption - delivered	NA
305681019	Placental abruption - not delivered	NA
305682014	Premature separation of placenta with coagulation defect	NA
305683016	Placental abruption NOS	NA
305696015	Antepartum haemorrhage with coagulation defect unspecified	NA
305697012	Antepartum haemorrhage with coagulation defect - delivered	NA
305702015	Antepartum haemorrhage with coagulation defect NOS	NA
305703013	Antepartum haemorrhage with trauma	NA
305706017	Antepartum haemorrhage with trauma unspecified	NA
305707014	Antepartum haemorrhage with trauma - delivered	NA
305710019	Antepartum haemorrhage with trauma - not delivered	NA
305711015	Antepartum haemorrhage with trauma NOS	NA
305716013	Antepartum haemorrhage with uterine leiomyoma	NA
305717016	Antepartum haemorrhage with fibroid	NA
305718014	Antepartum haemorrhage with uterine fibroid	NA
305719018	Antepartum haemorrhage with uterine leiomyoma unspecified	NA
305722016	Antepartum haemorrhage with uterine leiomyoma - delivered	NA
305726018	Antepartum haemorrhage with uterine leiomyoma NOS	NA
305730015	Other antepartum haemorrhage	NA
305731016	Other antepartum haemorrhage unspecified	NA
305734012	Other antepartum haemorrhage - delivered	NA
305735013	Other antepartum haemorrhage - not delivered	NA
305738010	Other antepartum haemorrhage NOS	NA
305742013	Antepartum haemorrhage NOS, unspecified	NA
305743015	Antepartum haemorrhage NOS - delivered	NA
305746011	Antepartum haemorrhage NOS - not deliv	NA
305747019	Antepartum haemorrhage NOS	NA
305773012	Transient hypertension of pregnancy unspecified	NA
305774018	Transient hypertension of pregnancy - delivered	NA
305776016	Transient hypertension of pregnancy - not delivered	NA
305780014	Transient hypertension of pregnancy NOS	NA
305788019	Mild or unspecified pre-eclampsia unspecified	NA
305789010	Mild or unspecified pre-eclampsia - delivered	NA
305791019	Mild or unspecified pre-eclampsia - not delivered	NA
305795011	Mild or unspecified pre-eclampsia NOS	NA
305800018	Severe pre-eclampsia unspecified	NA
305801019	Severe pre-eclampsia - delivered	NA
305802014	Severe pre-eclampsia - delivered with postnatal complication	NA
305803016	Severe pre-eclampsia - not delivered	NA
305805011	Severe pre-eclampsia NOS	NA
305807015	Eclampsia unspecified	NA
305808013	Eclampsia - delivered	NA
305809017	Eclampsia - delivered with postnatal complication	NA
305810010	Eclampsia in pregnancy	NA
305811014	Eclampsia - not delivered	NA
305817013	Eclampsia NOS	NA
305818015	Pre-eclampsia or eclampsia with pre-existing hypertension	NA
305846018	Mild hyperemesis unspecified	NA
305847010	Mild hyperemesis-delivered	NA
305848017	Mild hyperemesis-not delivered	NA
305849013	Mild hyperemesis gravidarum NOS	NA
305850013	Hyperemesis gravidarum with metabolic disturbance	NA
305854016	Hyperemesis gravidarum with metabolic disturbance NOS	NA
305856019	Late pregnancy vomiting unspecified	NA
305857011	Late pregnancy vomiting - delivered	NA
305858018	Late pregnancy vomiting - not delivered	NA
305859014	Late pregnancy vomiting NOS	NA
305860016	Vomiting of pregnancy	NA
305861017	Other pregnancy vomiting unspecified	NA
305862012	Other pregnancy vomiting - delivered	NA
305863019	Other pregnancy vomiting - not delivered	NA
305864013	Other pregnancy vomiting NOS	NA
305865014	Unspecified pregnancy vomiting	NA
305866010	Unspecified pregnancy vomiting unspecified	NA
305867018	Unspecified pregnancy vomiting - delivered	NA
305868011	Unspecified pregnancy vomiting - not delivered	NA
305870019	Unspecified pregnancy vomiting NOS	NA
305880015	Threatened premature labour	NA
305882011	False labour	NA
305883018	Threatened premature labour unspecified	NA
305886014	Threatened premature labour - not delivered	NA
305887017	False labour at or after 37 completed weeks of gestation	NA
305890011	False labor	NA
305891010	Other threatened labour	NA
305894019	Other threatened labour unspecified	NA
305895018	Other threatened labour - not delivered	NA
305898016	Other threatened labour NOS	NA
305902010	Early onset of delivery unspecified	NA
305903017	Early onset of delivery - delivered	NA
305904011	Early onset of delivery NOS	NA
305905012	Early or threatened labour NOS	NA
305908014	Post-term pregnancy unspecified	NA
305909018	Post-term pregnancy - delivered	NA
305910011	Post-term pregnancy - not delivered	NA
305911010	Post-term pregnancy NOS	NA
305912015	Prolonged pregnancy NOS	NA
305913013	Other pregnancy complication NEC	NA
305914019	Papyraceous fetus unspecified	NA
305915018	Papyraceous fetus - delivered	NA
305916017	Papyraceous fetus - not delivered	NA
305917014	Papyraceous fetus NOS	NA
305936016	Oedema or excessive weight gain in pregnancy NOS	NA
305944016	Unspecified renal disease in pregnancy unspecified	NA
305945015	Unspecified renal disease in pregnancy - delivered	NA
305947011	Unspecified renal disease in pregnancy - not delivered	NA
305949014	Unspecified renal disease in pregnancy NOS	NA
305951013	Habitual aborter - delivered	NA
305952018	Habitual aborter - not delivered	NA
305953011	Pregnancy care of habitual aborter	NA
305956015	Peripheral neuritis in pregnancy unspecified	NA
305957012	Peripheral neuritis in pregnancy - delivered	NA
305959010	Peripheral neuritis in pregnancy - not delivered	NA
305961018	Peripheral neuritis in pregnancy NOS	NA
305962013	Asymptomatic bacteriuria in pregnancy unspecified	NA
305963015	Asymptomatic bacteriuria in pregnancy - delivered	NA
305965010	Asymptomatic bacteriuria in pregnancy - not delivered	NA
305967019	Asymptomatic bacteriuria in pregnancy NOS	NA
305971016	Genitourinary tract infection in pregnancy unspecified	NA
305972011	Genitourinary tract infection in pregnancy - delivered	NA
305974012	Genitourinary tract infection in pregnancy - not delivered	NA
305976014	Infections of kidney in pregnancy	NA
305977017	Urinary tract infection following delivery	NA
305978010	Infections of the genital tract in pregnancy	NA
305985014	Liver disorder in pregnancy unspecified	NA
305986010	Liver disorder in pregnancy - delivered	NA
305987018	Liver disorder in pregnancy - not delivered	NA
305988011	Liver disorder in pregnancy NOS	NA
305989015	Fatigue during pregnancy unspecified	NA
305990012	Fatigue during pregnancy - delivered	NA
305992016	Fatigue during pregnancy - not delivered	NA
305994015	Fatigue during pregnancy NOS	NA
305996018	Herpes gestationis - delivered	NA
305997010	Herpes gestationis - delivered with postnatal complication	NA
305998017	Herpes gestationis - not delivered	NA
306002019	Glycosuria during pregnancy	NA
306003012	Glycosuria during pregnancy unspecified	NA
306004018	Glycosuria during pregnancy - delivered	NA
306006016	Glycosuria during pregnancy - not delivered	NA
306008015	Glycosuria during pregnancy NOS	NA
306013016	Gestational oedema with proteinuria	NA
306017015	Other pregnancy complications	NA
306018013	Other pregnancy complication unspecified	NA
306019017	Other pregnancy complication - delivered	NA
306021010	Other pregnancy complication - not delivered	NA
306024019	Other pregnancy complication NOS	NA
306025018	Complication of pregnancy, childbirth and/or the puerperium	NA
306029012	Maternal syphilis during pregnancy - baby delivered	NA
306031015	Maternal syphilis during pregnancy - baby not yet delivered	NA
306038014	Maternal gonorrhoea during pregnancy - baby delivered	NA
306065019	Maternal malaria during pregnancy - baby delivered	NA
306067010	Maternal malaria during pregnancy - baby not yet delivered	NA
306074017	Maternal rubella during pregnancy - baby delivered	NA
306076015	Maternal rubella during pregnancy - baby not yet delivered	NA
306087011	Infections of bladder in pregnancy	NA
306088018	Infections of urethra in pregnancy	NA
306108017	Diabetes mellitus during pregnancy - baby delivered	NA
306110015	Diabetes mellitus during pregnancy - baby not yet delivered	NA
306120013	Thyroid dysfunction during pregnancy - baby delivered	NA
306129014	Anaemia during pregnancy - baby delivered	NA
306133019	Anaemia during pregnancy - baby not yet delivered	NA
306137018	Iron deficiency anaemia of pregnancy	NA
306144010	Drug dependence during pregnancy - baby delivered	NA
306145011	Drug dependence in the puerperium - baby delivered	NA
306146012	Drug dependence during pregnancy - baby not yet delivered	NA
306151018	Mental disorder during pregnancy - baby delivered	NA
306152013	Mental disorder in the puerperium - baby delivered	NA
306153015	Mental disorder during pregnancy - baby not yet delivered	NA
306179012	Orthopaedic disorder during pregnancy - baby delivered	NA
306203018	Medical condition NOS during pregnancy - baby delivered	NA
306208010	Complications specific to multiple gestation	NA
306209019	Continuing pregnancy after abortion of one fetus or more	NA
306210012	Continuing pregnancy after intrauterine death one fetus or more	NA
306216018	Risk factors in pregnancy	NA
306220019	Normal delivery but antenatal or postnatal conditions present	NA
306221015	Normal delivery in completely normal case NOS	NA
306222010	Twin pregnancy unspecified	NA
306223017	Twin pregnancy - delivered	NA
306224011	Twin pregnancy with antenatal problem	NA
306225012	Twin pregnancy NOS	NA
306226013	Triplet pregnancy unspecified	NA
306227016	Triplet pregnancy - delivered	NA
306228014	Triplet pregnancy with antenatal problem	NA
306229018	Triplet pregnancy NOS	NA
