medcodeid	flag
116049013	1
2478811014	1
3636201000006113	1
3636221000006115	1
3636241000006110	1
3636271000006119	1
3636261000006114	1
13490341000006110	1
13490351000006112	1
13603301000006119	1
13931101000006110	1
13931111000006113	1
13931121000006117	1
13931161000006111	1
13931191000006115	1
13931201000006117	1
13931211000006119	1
13931221000006110	1
501419018	1
3636191000006110	1
