prodcodeid	productname	priority_2	priority_1
10207941000033114	Dulaglutide 1.5mg/0.5ml solution for injection pre-filled disposable devices	NA	1
10208141000033112	Trulicity 1.5mg/0.5ml solution for injection pre-filled pens	NA	1
10951041000033114	Albiglutide 30mg powder and solvent for solution for injection pre-filled disposable devices	NA	1
10951141000033112	Albiglutide 50mg powder and solvent for solution for injection pre-filled disposable devices	NA	1
12876241000033112	Semaglutide 0.25mg/0.19ml solution for injection 1.5ml pre-filled disposable device	NA	1
12876541000033112	Ozempic 0.25mg/0.19ml solution for injection 1.5ml pre-filled pens	NA	1
12876341000033118	Semaglutide 0.5mg/0.37ml solution for injection 1.5ml pre-filled disposable device	NA	1
12876641000033114	Ozempic 0.5mg/0.37ml solution for injection 1.5ml pre-filled pens	NA	1
12876441000033112	Ozempic 1mg/0.74ml solution for injection 3ml pre-filled pens	NA	1
12876141000033116	Semaglutide 1mg/0.74ml solution for injection 3ml pre-filled disposable device	NA	1
13427541000033112	Exenatide 2mg/0.85ml prolonged-release suspension for injection pre-filled disposable devices	NA	1
4270041000033118	Vildagliptin 100 mg	NA	1
4269841000033110	Vildagliptin 100 mg	NA	1
8028441000033116	Galvus Meformin Vildagliptin 850/50mg	NA	1
8028541000033115	Galvus Meformin Vildagliptin 1000/50mg	NA	1
7687441000033111	Sitagliptin 25mg tablets	NA	1
7687541000033112	Januvia 25mg tablets	NA	1
4133241000033117	Sitagliptin 100mg tablets	NA	1
4133341000033110	Januvia 100mg tablets	NA	1
7687241000033110	Sitagliptin 50mg tablets	NA	1
7687341000033117	Januvia 50mg tablets	NA	1
6123241000033112	Saxagliptin 2.5mg tablets	NA	1
6123341000033119	Onglyza 2.5mg tablets	NA	1
5316741000033110	Onglyza 5mg tablets	NA	1
5316641000033118	Saxagliptin 5mg tablets	NA	1
4269941000033119	Galvus 50mg tablets	NA	1
4269741000033117	Vildagliptin 50mg tablets	NA	1
6444041000033117	Linagliptin 5mg tablets	NA	1
6444141000033118	Trajenta 5mg tablets	NA	1
8959341000033111	Alogliptin 12.5mg tablets	NA	1
8959441000033117	Alogliptin 25mg tablets	NA	1
8959241000033118	Alogliptin 6.25mg tablets	NA	1
11898041000033112	Saxagliptin 5mg / Dapagliflozin 10mg tablets	NA	1
13116741000033112	Empagliflozin 10mg / Linagliptin 5mg tablets	NA	1
13116841000033120	Empagliflozin 25mg / Linagliptin 5mg tablets	NA	1
406741000033116	Daonil  Tablets  2.5 mg	NA	1
218441000033114	Calabren  Tablets  5 mg	NA	1
209341000033112	Calabren  Tablets  2.5 mg	NA	1
646241000033118	Glyconon  Tablets  500 mg	NA	1
837141000033116	Libanil  Tablets  5 mg	NA	1
869941000033118	Malix  Tablets  5 mg	NA	1
869841000033114	Malix  Tablets  2.5 mg	NA	1
837041000033115	Libanil  Tablets  2.5 mg	NA	1
1153441000033112	Rastinon  Tablets  500 mg	NA	1
5492041000033116	Glimeperide Meformin 2/500mg	NA	1
5491941000033110	Glimeperide Meformin 1/250mg	NA	1
8027541000033116	Gliclazide 60 mg	NA	1
557241000033113	Euglucon 2.5mg tablets	NA	1
462041000033119	Diabetamide 2.5mg tablets	NA	1
644541000033111	Glibenclamide 2.5mg tablets	NA	1
1278041000033114	Semi-Daonil 2.5mg tablets	NA	1
557341000033115	Euglucon 5mg tablets	NA	1
462141000033115	Diabetamide 5mg tablets	NA	1
406841000033114	Daonil 5mg tablets	NA	1
644641000033112	Glibenclamide 5mg tablets	NA	1
1602941000033117	Diaglyk 80mg tablets	NA	1
463541000033118	Diamicron 80mg tablets	NA	1
644841000033113	Glipizide 5mg tablets	NA	1
920241000033117	Minodiab 5mg tablets	NA	1
644741000033115	Glibenese 5mg tablets	NA	1
646541000033116	Glipizide 2.5mg tablets	NA	1
920141000033112	Minodiab 2.5mg tablets	NA	1
58841000033113	Amaryl 2mg tablets	NA	1
645841000033112	Glimepiride 2mg tablets	NA	1
4522141000033112	Niddaryl 2mg tablets	NA	1
4522041000033113	Niddaryl 1mg tablets	NA	1
645941000033116	Glimepiride 1mg tablets	NA	1
59541000033116	Amaryl 1mg tablets	NA	1
59641000033115	Amaryl 3mg tablets	NA	1
646041000033114	Glimepiride 3mg tablets	NA	1
4522241000033117	Niddaryl 3mg tablets	NA	1
4522341000033110	Niddaryl 4mg tablets	NA	1
59741000033112	Amaryl 4mg tablets	NA	1
646141000033113	Glimepiride 4mg tablets	NA	1
1450941000033113	Tolbutamide 500mg tablets	NA	1
5968741000033115	Glibenclamide 5mg/5ml oral solution	NA	1
5968841000033113	Glibenclamide 5mg/5ml oral suspension	NA	1
5709841000033114	Zicron 40mg tablets	NA	1
8125241000033119	Glimepiride 6mg/5ml oral suspension	NA	1
8298241000033118	Laaglyda MR 60mg tablets	NA	1
10701741000033112	Bilxona 60mg modified-release tablets	NA	1
13122541000033112	Glibenclamide 600micrograms/ml oral suspension sugar free	NA	1
13122641000033112	Glibenclamide 6mg/ml oral suspension sugar free	NA	1
2289941000033113	Diamicron 30mg MR tablets	NA	1
5815341000033115	Edicil MR 30mg tablets	NA	1
4941241000033119	Nazdol MR 30mg tablets	NA	1
5378141000033117	Dacadis MR 30mg tablets	NA	1
11918941000033116	Zicron PR 30mg tablets	NA	1
10701641000033116	Bilxona 30mg modified-release tablets	NA	1
12573641000033116	4SURE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge	1	NA
12573741000033112	4SURE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge	1	NA
12573841000033120	4SURE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge	1	NA
12573941000033110	4SURE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge	1	NA
12574041000033112	4SURE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge	1	NA
12574141000033112	4SURE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32gauge	1	NA
12574241000033116	4SURE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge	1	NA
10600641000033118	Abasaglar 100units/ml solution for injection 3ml cartridges	1	NA
10600741000033110	Abasaglar KwikPen 100units/ml solution for injection 3ml pre-filled pens	1	NA
14002541000033110	Abasaglar Tempo Pen 100units/ml solution for injection 3ml pre-filled pens	1	NA
2952841000033116	Actrapid 100units/ml solution for injection 10ml vials	1	NA
7341000033112	Actrapid Mc  Injection  100 units/1 ml	1	NA
2952941000033112	Actrapid NovoLet 100units/ml solution for injection	1	NA
2953041000033119	Actrapid Penfill 100units/ml solution for injection 3ml cartridges	1	NA
13911841000033112	Admelog 100units/ml solution for injection 10ml vials	1	NA
13911941000033116	Admelog 100units/ml solution for injection 3ml cartridges	1	NA
13912041000033110	Admelog 100units/ml solution for injection 3ml pre-filled pens	1	NA
12333341000033110	AllStar hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units	1	NA
12333441000033116	AllStar hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units	1	NA
12436041000033110	AllStar Pro hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units	1	NA
12436141000033114	AllStar Pro hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units	1	NA
3345841000033110	Apidra 100units/ml solution for injection 10ml vials	1	NA
3345941000033119	Apidra 100units/ml solution for injection 3ml cartridges	1	NA
3963941000033117	Apidra 100units/ml solution for injection 3ml OptiClik cartridges	1	NA
4258641000033112	Apidra 100units/ml solution for injection 3ml pre-filled SoloStar pens	1	NA
14147341000033120	Apollo Pro-Shield Safety Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/30gauge	1	NA
13847941000033112	Ateria Safecontrol Safety  Needles for insulin pens  4 mm/32 gauge	1	NA
13426141000033118	Ateria Safecontrol Safety  Needles for insulin pens  5 mm/30 gauge	1	NA
2884141000033118	Autopen 24 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units	1	NA
2884241000033113	Autopen 24 hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units	1	NA
2194041000033112	Autopen Classic hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units	1	NA
2016941000033111	Autopen Classic hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units	1	NA
2016741000033113	Autopen hypodermic insulin injection pen reusable for 1.5ml cartridge 1 unit dial up / range 1-16 units	1	NA
2016841000033115	Autopen hypodermic insulin injection pen reusable for 1.5ml cartridge 2 unit dial up / range 2-32 units	1	NA
2655041000033116	Autopen Junior hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units	1	NA
2655141000033117	Autopen Junior hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units	1	NA
2742941000033119	Autopen Special Edition hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units	1	NA
2743041000033112	Autopen Special Edition hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units	1	NA
